# ResFinder phenotype results.
# Sample: 573.24323.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	3	rmtB (rmtB_AB103506)
tobramycin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918), rmtB (rmtB_AB103506)
streptomycin	aminoglycoside	Resistant	3	aadA16 (aadA16_EU675686), aph(3'')-Ib (aph(3'')-Ib_AF024602), aph(3'')-Ib (aph(3'')-Ib_AF321551), aph(3'')-Ib (aph(3'')-Ib_AF313472), aph(3'')-Ib (aph(3'')-Ib_AF321550), aadA2 (aadA2_JQ364967)
amikacin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918), rmtB (rmtB_AB103506)
isepamicin	aminoglycoside	Resistant	3	rmtB (rmtB_AB103506)
dibekacin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
kanamycin	aminoglycoside	Resistant	3	rmtB (rmtB_AB103506)
neomycin	aminoglycoside	No resistance	0	
lividomycin	aminoglycoside	No resistance	0	
paromomycin	aminoglycoside	No resistance	0	
ribostamycin	aminoglycoside	No resistance	0	
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918), rmtB (rmtB_AB103506)
arbekacin	aminoglycoside	Resistant	3	rmtB (rmtB_AB103506)
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	3	aadA16 (aadA16_EU675686), aadA2 (aadA2_JQ364967)
fluoroquinolone	quinolone	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
ciprofloxacin	quinolone	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918), OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	Resistant	2	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
amoxicillin	beta-lactam	Resistant	3	blaSHV-98 (blaSHV-98_AM941844), blaSHV-78 (blaSHV-78_AM176553), blaSHV-26 (blaSHV-26_AF227204), blaTEM-207 (blaTEM-207_KC818234), blaTEM-126 (blaTEM-126_AY628199), blaTEM-30 (blaTEM-30_AJ437107), blaTEM-1B (blaTEM-1B_AY458016), blaOXA-1 (blaOXA-1_HQ170510), blaCTX-M-15 (blaCTX-M-15_AY044436), blaKPC-2 (blaKPC-2_AY034847), blaTEM-40 (blaTEM-40_FR717535), blaTEM-1C (blaTEM-1C_FJ560503), blaTEM-1A (blaTEM-1A_HM749966)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaSHV-26 (blaSHV-26_AF227204), blaTEM-30 (blaTEM-30_AJ437107), blaOXA-1 (blaOXA-1_HQ170510), blaKPC-2 (blaKPC-2_AY034847), blaTEM-40 (blaTEM-40_FR717535)
ampicillin	beta-lactam	Resistant	3	blaSHV-98 (blaSHV-98_AM941844), blaSHV-78 (blaSHV-78_AM176553), blaSHV-26 (blaSHV-26_AF227204), blaTEM-207 (blaTEM-207_KC818234), blaTEM-126 (blaTEM-126_AY628199), blaTEM-30 (blaTEM-30_AJ437107), blaTEM-1B (blaTEM-1B_AY458016), blaOXA-1 (blaOXA-1_HQ170510), blaCTX-M-15 (blaCTX-M-15_AY044436), blaKPC-2 (blaKPC-2_AY034847), blaTEM-40 (blaTEM-40_FR717535), blaTEM-1C (blaTEM-1C_FJ560503), blaTEM-1A (blaTEM-1A_HM749966)
ampicillin+clavulanic acid	beta-lactam	Resistant	3	blaSHV-26 (blaSHV-26_AF227204), blaTEM-30 (blaTEM-30_AJ437107), blaOXA-1 (blaOXA-1_HQ170510), blaKPC-2 (blaKPC-2_AY034847), blaTEM-40 (blaTEM-40_FR717535)
cefepime	beta-lactam	Resistant	3	blaSHV-98 (blaSHV-98_AM941844), blaTEM-207 (blaTEM-207_KC818234), blaTEM-126 (blaTEM-126_AY628199), blaOXA-1 (blaOXA-1_HQ170510), blaCTX-M-15 (blaCTX-M-15_AY044436), blaKPC-2 (blaKPC-2_AY034847)
cefixime	beta-lactam	No resistance	0	
