# ResFinder phenotype results.
# Sample: 573.7362.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	3	rmtC (rmtC_AB194779), aac(3)-IIa (aac(3)-IIa_CP023555)
tobramycin	aminoglycoside	Resistant	3	rmtC (rmtC_AB194779), aac(6')-Ib3 (aac(6')-Ib3_X60321), aac(3)-IIa (aac(3)-IIa_CP023555), aac(6')-Ib (aac(6')-Ib_M21682), aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
streptomycin	aminoglycoside	Resistant	3	aadA2b (aadA2b_D43625), aph(6)-Id (aph(6)-Id_M28829), aph(3'')-Ib (aph(3'')-Ib_AF321551)
amikacin	aminoglycoside	Resistant	3	rmtC (rmtC_AB194779), aac(6')-Ib3 (aac(6')-Ib3_X60321), aac(6')-Ib (aac(6')-Ib_M21682), aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
isepamicin	aminoglycoside	Resistant	3	rmtC (rmtC_AB194779)
dibekacin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
kanamycin	aminoglycoside	Resistant	3	rmtC (rmtC_AB194779)
neomycin	aminoglycoside	No resistance	0	
lividomycin	aminoglycoside	No resistance	0	
paromomycin	aminoglycoside	No resistance	0	
ribostamycin	aminoglycoside	No resistance	0	
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	Resistant	3	rmtC (rmtC_AB194779), aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
arbekacin	aminoglycoside	Resistant	3	rmtC (rmtC_AB194779)
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	2	aadA2b (aadA2b_D43625)
fluoroquinolone	quinolone	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918)
ciprofloxacin	quinolone	Resistant	3	aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918), OqxB (OqxB_EU370913), OqxA (OqxA_EU370913), qnrB9 (qnrB9_EF526508)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
amoxicillin	beta-lactam	Resistant	3	blaCMY-6 (blaCMY-6_AJ011293), blaNDM-1 (blaNDM-1_FN396876), blaCTX-M-15 (blaCTX-M-15_AY044436), blaTEM-1B (blaTEM-1B_AY458016), blaSHV-11 (blaSHV-11_X98101), blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-25 (blaSHV-25_AF208796), blaSHV-13 (blaSHV-13_AF164577), blaOXA-1 (blaOXA-1_HQ170510)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaCMY-6 (blaCMY-6_AJ011293), blaNDM-1 (blaNDM-1_FN396876), blaOXA-1 (blaOXA-1_HQ170510)
