# ResFinder phenotype results.
# Sample: 573.18477.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	No resistance	0	
tobramycin	aminoglycoside	Resistant	3	aac(6')-Ib3 (aac(6')-Ib3_X60321), aac(6')-Il (aac(6')-Il_U13880)
streptomycin	aminoglycoside	Resistant	3	aadA1 (aadA1_JX185132)
amikacin	aminoglycoside	Resistant	3	aac(6')-Ib3 (aac(6')-Ib3_X60321), aac(6')-Il (aac(6')-Il_U13880)
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
neomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
lividomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
paromomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
ribostamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_X62115)
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	No resistance	0	
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	3	aadA1 (aadA1_JX185132)
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	Resistant	2	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	Resistant	2	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
amoxicillin	beta-lactam	Resistant	3	blaVIM-1 (blaVIM-1_Y18050), blaSHV-1 (blaSHV-1_AF148850), blaKPC-2 (blaKPC-2_AY034847), blaTEM-1A (blaTEM-1A_HM749966), blaOXA-9 (blaOXA-9_KQ089875)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaVIM-1 (blaVIM-1_Y18050), blaKPC-2 (blaKPC-2_AY034847)
ampicillin	beta-lactam	Resistant	3	blaVIM-1 (blaVIM-1_Y18050), blaSHV-1 (blaSHV-1_AF148850), blaKPC-2 (blaKPC-2_AY034847), blaTEM-1A (blaTEM-1A_HM749966), blaOXA-9 (blaOXA-9_KQ089875)
ampicillin+clavulanic acid	beta-lactam	Resistant	3	blaVIM-1 (blaVIM-1_Y18050), blaKPC-2 (blaKPC-2_AY034847)
cefepime	beta-lactam	Resistant	3	blaVIM-1 (blaVIM-1_Y18050), blaKPC-2 (blaKPC-2_AY034847)
cefixime	beta-lactam	Resistant	3	blaVIM-1 (blaVIM-1_Y18050)
