# ResFinder phenotype results.
# Sample: 573.5644.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	2	aac(3)-I (aac(3)-I_AJ877225)
tobramycin	aminoglycoside	Resistant	3	aac(6')-Il (aac(6')-Il_U13880), aac(6')-Ib3 (aac(6')-Ib3_X60321)
streptomycin	aminoglycoside	Resistant	3	aadA23 (aadA23_AJ809407), aph(6)-Id (aph(6)-Id_M28829), aph(3'')-Ib (aph(3'')-Ib_AF321551), aadA2 (aadA2_JQ364967)
amikacin	aminoglycoside	Resistant	3	aac(6')-Il (aac(6')-Il_U13880), aac(6')-Ib3 (aac(6')-Ib3_X60321)
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	Resistant	1	aph(3')-Ia (aph(3')-Ia_V00359), aph(3')-Ia (aph(3')-Ia_X62115)
neomycin	aminoglycoside	Resistant	1	aph(3')-Ia (aph(3')-Ia_V00359), aph(3')-Ia (aph(3')-Ia_X62115)
lividomycin	aminoglycoside	Resistant	1	aph(3')-Ia (aph(3')-Ia_V00359), aph(3')-Ia (aph(3')-Ia_X62115)
paromomycin	aminoglycoside	Resistant	1	aph(3')-Ia (aph(3')-Ia_V00359), aph(3')-Ia (aph(3')-Ia_X62115)
ribostamycin	aminoglycoside	Resistant	1	aph(3')-Ia (aph(3')-Ia_V00359), aph(3')-Ia (aph(3')-Ia_X62115)
unknown aminoglycoside	aminoglycoside	Resistant	1	aph(3')-Ia (aph(3')-Ia_EU855787)
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	No resistance	0	
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	Resistant	2	aac(3)-I (aac(3)-I_AJ877225)
fortimicin	aminoglycoside	Resistant	2	aac(3)-I (aac(3)-I_AJ877225)
spectinomycin	aminocyclitol	Resistant	3	aadA23 (aadA23_AJ809407), aadA2 (aadA2_JQ364967)
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	Resistant	2	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	Resistant	2	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
