# ResFinder phenotype results.
# Sample: 573.24267.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	No resistance	0	
tobramycin	aminoglycoside	Resistant	3	aac(6')-Ib (aac(6')-Ib_M21682)
streptomycin	aminoglycoside	Resistant	1	aadA1 (aadA1_JQ480156), aadA1 (aadA1_JQ414041)
amikacin	aminoglycoside	Resistant	3	aac(6')-Ib (aac(6')-Ib_M21682)
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	No resistance	0	
neomycin	aminoglycoside	No resistance	0	
lividomycin	aminoglycoside	No resistance	0	
paromomycin	aminoglycoside	No resistance	0	
ribostamycin	aminoglycoside	No resistance	0	
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	No resistance	0	
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	1	aadA1 (aadA1_JQ480156), aadA1 (aadA1_JQ414041)
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
amoxicillin	beta-lactam	Resistant	3	blaTEM-1A (blaTEM-1A_HM749966), blaOXA-9 (blaOXA-9_KQ089875), blaSHV-12 (blaSHV-12_KF976405), blaSHV-129 (blaSHV-129_GU827715)
amoxicillin+clavulanic acid	beta-lactam	No resistance	0	
ampicillin	beta-lactam	Resistant	3	blaTEM-1A (blaTEM-1A_HM749966), blaOXA-9 (blaOXA-9_KQ089875), blaSHV-12 (blaSHV-12_KF976405), blaSHV-129 (blaSHV-129_GU827715)
ampicillin+clavulanic acid	beta-lactam	No resistance	0	
