# ResFinder phenotype results.
# Sample: 573.46870.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	3	armA (armA_AY220558)
tobramycin	aminoglycoside	Resistant	3	armA (armA_AY220558), aac(6')-Ib3 (aac(6')-Ib3_X60321)
streptomycin	aminoglycoside	Resistant	3	aadA1 (aadA1_JQ480156)
amikacin	aminoglycoside	Resistant	3	armA (armA_AY220558), aac(6')-Ib3 (aac(6')-Ib3_X60321), aph(3')-VI (aph(3')-VI_KC170992)
isepamicin	aminoglycoside	Resistant	3	armA (armA_AY220558)
dibekacin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	Resistant	2	aph(3')-Ia (aph(3')-Ia_V00359)
neomycin	aminoglycoside	Resistant	2	aph(3')-Ia (aph(3')-Ia_V00359)
lividomycin	aminoglycoside	Resistant	2	aph(3')-Ia (aph(3')-Ia_V00359)
paromomycin	aminoglycoside	Resistant	2	aph(3')-Ia (aph(3')-Ia_V00359)
ribostamycin	aminoglycoside	Resistant	2	aph(3')-Ia (aph(3')-Ia_V00359)
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	Resistant	3	armA (armA_AY220558)
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	3	aadA1 (aadA1_JQ480156)
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913), qnrS1 (qnrS1_AB187515)
unknown quinolone	quinolone	No resistance	0	
