# ResFinder phenotype results.
# Sample: 573.24243.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	3	aac(3)-IId (aac(3)-IId_EU022314), armA (armA_AY220558)
tobramycin	aminoglycoside	Resistant	3	aac(3)-IId (aac(3)-IId_EU022314), aac(6')-Ib3 (aac(6')-Ib3_X60321), armA (armA_AY220558)
streptomycin	aminoglycoside	Resistant	3	aph(6)-Id (aph(6)-Id_CP000971), aph(3'')-Ib (aph(3'')-Ib_AF321551), aadA1 (aadA1_JQ480156), aadA2 (aadA2_JQ364967)
amikacin	aminoglycoside	Resistant	3	aph(3')-VI (aph(3')-VI_KC170992), aac(6')-Ib3 (aac(6')-Ib3_X60321), armA (armA_AY220558)
isepamicin	aminoglycoside	Resistant	3	armA (armA_AY220558)
dibekacin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
kanamycin	aminoglycoside	No resistance	0	
neomycin	aminoglycoside	No resistance	0	
lividomycin	aminoglycoside	No resistance	0	
paromomycin	aminoglycoside	No resistance	0	
ribostamycin	aminoglycoside	No resistance	0	
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	Resistant	3	aac(3)-IId (aac(3)-IId_EU022314), armA (armA_AY220558)
apramycin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
sisomicin	aminoglycoside	Resistant	2	aac(3)-IId (aac(3)-IId_EU022314)
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	3	aadA1 (aadA1_JQ480156), aadA2 (aadA2_JQ364967)
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	Resistant	2	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	Resistant	2	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
amoxicillin	beta-lactam	Resistant	3	blaSHV-11 (blaSHV-11_X98101), blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-25 (blaSHV-25_AF208796), blaSHV-13 (blaSHV-13_AF164577), blaNDM-1 (blaNDM-1_FN396876), blaTEM-1A (blaTEM-1A_HM749966), blaOXA-9 (blaOXA-9_KQ089875), blaOXA-1 (blaOXA-1_HQ170510), blaCTX-M-15 (blaCTX-M-15_AY044436), blaOXA-232 (blaOXA-232_JX423831)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876), blaOXA-1 (blaOXA-1_HQ170510), blaOXA-232 (blaOXA-232_JX423831)
ampicillin	beta-lactam	Resistant	3	blaSHV-11 (blaSHV-11_X98101), blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-25 (blaSHV-25_AF208796), blaSHV-13 (blaSHV-13_AF164577), blaNDM-1 (blaNDM-1_FN396876), blaTEM-1A (blaTEM-1A_HM749966), blaOXA-9 (blaOXA-9_KQ089875), blaOXA-1 (blaOXA-1_HQ170510), blaCTX-M-15 (blaCTX-M-15_AY044436), blaOXA-232 (blaOXA-232_JX423831)
ampicillin+clavulanic acid	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876), blaOXA-1 (blaOXA-1_HQ170510), blaOXA-232 (blaOXA-232_JX423831)
cefepime	beta-lactam	Resistant	3	blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-13 (blaSHV-13_AF164577), blaNDM-1 (blaNDM-1_FN396876), blaOXA-1 (blaOXA-1_HQ170510), blaCTX-M-15 (blaCTX-M-15_AY044436)
cefixime	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876)
cefotaxime	beta-lactam	Resistant	3	blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-13 (blaSHV-13_AF164577), blaNDM-1 (blaNDM-1_FN396876), blaCTX-M-15 (blaCTX-M-15_AY044436)
cefoxitin	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876)
ceftazidime	beta-lactam	Resistant	3	blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-13 (blaSHV-13_AF164577), blaNDM-1 (blaNDM-1_FN396876), blaCTX-M-15 (blaCTX-M-15_AY044436)
ertapenem	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876)
imipenem	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876)
meropenem	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876)
piperacillin	beta-lactam	Resistant	3	blaSHV-11 (blaSHV-11_X98101), blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-25 (blaSHV-25_AF208796), blaSHV-13 (blaSHV-13_AF164577), blaNDM-1 (blaNDM-1_FN396876), blaTEM-1A (blaTEM-1A_HM749966), blaOXA-1 (blaOXA-1_HQ170510), blaCTX-M-15 (blaCTX-M-15_AY044436), blaOXA-232 (blaOXA-232_JX423831)
piperacillin+tazobactam	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876), blaOXA-1 (blaOXA-1_HQ170510), blaOXA-232 (blaOXA-232_JX423831)
unknown beta-lactam	beta-lactam	Resistant	2	blaSHV-185 (blaSHV-185_KM233164), blaSHV-69 (blaSHV-69_DQ174308)
aztreonam	beta-lactam	Resistant	3	blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-13 (blaSHV-13_AF164577), blaCTX-M-15 (blaCTX-M-15_AY044436)
cefotaxime+clavulanic acid	beta-lactam	No resistance	0	
temocillin	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876)
ticarcillin	beta-lactam	Resistant	3	blaSHV-11 (blaSHV-11_X98101), blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-25 (blaSHV-25_AF208796), blaSHV-13 (blaSHV-13_AF164577), blaTEM-1A (blaTEM-1A_HM749966), blaCTX-M-15 (blaCTX-M-15_AY044436)
ceftazidime+avibactam	beta-lactam	Resistant	3	blaNDM-1 (blaNDM-1_FN396876)
penicillin	beta-lactam	No resistance	0	
ceftriaxone	beta-lactam	Resistant	3	blaSHV-70 (blaSHV-70_DQ013287), blaSHV-31 (blaSHV-31_AY277255), blaSHV-13 (blaSHV-13_AF164577), blaCTX-M-15 (blaCTX-M-15_AY044436)
ticarcillin+clavulanic acid	beta-lactam	No resistance	0	
cephalothin	beta-lactam	Resistant	3	blaSHV-11 (blaSHV-11_X98101), blaSHV-25 (blaSHV-25_AF208796), blaTEM-1A (blaTEM-1A_HM749966)
piperacillin+clavulanic acid	beta-lactam	No resistance	0	
ceftiofur	under_development	No resistance	0	
sulfamethoxazole	folate pathway antagonist	Resistant	3	sul2 (sul2_AY034138), sul1 (sul1_U12338)
trimethoprim	folate pathway antagonist	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913), dfrA1 (dfrA1_X00926), dfrA12 (dfrA12_AM040708)
