# ResFinder phenotype results.
# Sample: 573.24326.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	3	aac(3)-IV (aac(3)-IV_DQ241380)
tobramycin	aminoglycoside	Resistant	3	aac(3)-IV (aac(3)-IV_DQ241380), aac(6')-Ib (aac(6')-Ib_M21682)
streptomycin	aminoglycoside	Resistant	3	aadA2 (aadA2_JQ364967), aadA2 (aadA2_NC_010870), aadA1 (aadA1_JQ414041)
amikacin	aminoglycoside	Resistant	3	aac(6')-Ib (aac(6')-Ib_M21682)
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
neomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
lividomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
paromomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
ribostamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	Resistant	3	aph(4)-Ia (aph(4)-Ia_V01499)
netilmicin	aminoglycoside	No resistance	0	
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	Resistant	3	aadA2 (aadA2_JQ364967), aadA2 (aadA2_NC_010870), aadA1 (aadA1_JQ414041)
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
amoxicillin	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847), blaTEM-1A (blaTEM-1A_HM749966), blaOXA-9 (blaOXA-9_KQ089875), blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
ampicillin	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847), blaTEM-1A (blaTEM-1A_HM749966), blaOXA-9 (blaOXA-9_KQ089875), blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
ampicillin+clavulanic acid	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
cefepime	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847), blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
cefixime	beta-lactam	No resistance	0	
cefotaxime	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847), blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
cefoxitin	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
ceftazidime	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847), blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
ertapenem	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
imipenem	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
meropenem	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
piperacillin	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847), blaTEM-1A (blaTEM-1A_HM749966), blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
piperacillin+tazobactam	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
unknown beta-lactam	beta-lactam	Resistant	1	blaSHV-160 (blaSHV-160_JX121127)
aztreonam	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847), blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
cefotaxime+clavulanic acid	beta-lactam	No resistance	0	
temocillin	beta-lactam	No resistance	0	
ticarcillin	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847), blaTEM-1A (blaTEM-1A_HM749966), blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
ceftazidime+avibactam	beta-lactam	No resistance	0	
penicillin	beta-lactam	No resistance	0	
ceftriaxone	beta-lactam	Resistant	1	blaSHV-12 (blaSHV-12_KF976405), blaSHV-66 (blaSHV-66_DQ174306), blaSHV-15 (blaSHV-15_AJ011428)
ticarcillin+clavulanic acid	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
cephalothin	beta-lactam	Resistant	2	blaTEM-1A (blaTEM-1A_HM749966)
piperacillin+clavulanic acid	beta-lactam	No resistance	0	
ceftiofur	under_development	No resistance	0	
sulfamethoxazole	folate pathway antagonist	Resistant	3	sul1 (sul1_U12338), sul3 (sul3_AJ459418)
trimethoprim	folate pathway antagonist	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913), dfrA12 (dfrA12_AM040708)
fosfomycin	fosfomycin	Resistant	2	fosA6 (fosA6_KU254579)
vancomycin	glycopeptide	No resistance	0	
teicoplanin	glycopeptide	No resistance	0	
bleomycin	glycopeptide	No resistance	0	
lincomycin	lincosamide	No resistance	0	
clindamycin	lincosamide	No resistance	0	
dalfopristin	streptogramin a	No resistance	0	
